spawn qemu-system-riscv64 -semihosting -M virt,aclint=on -cpu rv64 -smp 8 -bios none -kernel nuttx -nographic
ABC[    0.000000] mm_initialize: Heap: name=Kmem, start=0x80206c00 size=2069504
[    0.106000] mm_malloc: Allocated 0xc0200cd0, size 1696
[    0.107000] mm_malloc: Allocated 0xc0201370, size 32
[    0.107000] mm_malloc: Allocated 0xc0201390, size 32
[    0.107000] mm_malloc: Allocated 0xc02013b0, size 32
[    0.108000] mm_malloc: Allocated 0xc02013d0, size 32
[    0.108000] mm_malloc: Allocated 0xc02013f0, size 32
[    0.109000] mm_malloc: Allocated 0xc0201410, size 32
[    0.109000] mm_malloc: Allocated 0xc0201430, size 32
[    0.109000] mm_malloc: Allocated 0xc0201450, size 32
[    0.110000] mm_malloc: Allocated 0xc0201470, size 32
[    0.110000] mm_malloc: Allocated 0xc0201490, size 32
[    0.111000] mm_malloc: Allocated 0xc02014b0, size 32
[    0.111000] mm_malloc: Allocated 0xc02014d0, size 32
[    0.112000] mm_malloc: Allocated 0xc02014f0, size 32
[    0.112000] mm_malloc: Allocated 0xc0201510, size 48
[    0.113000] mm_malloc: Allocated 0xc0201540, size 32
[    0.113000] mm_malloc: Allocated 0xc0201560, size 32
[    0.113000] mm_malloc: Allocated 0xc0201580, size 32
[    0.114000] mm_malloc: Allocated 0xc02015a0, size 32
[    0.114000] mm_malloc: Allocated 0xc02015c0, size 48
[    0.115000] mm_malloc: Allocated 0xc02015f0, size 32
[    0.115000] mm_malloc: Allocated 0xc0201610, size 32
[    0.116000] mm_malloc: Allocated 0xc0201630, size 32
[    0.116000] mm_malloc: Allocated 0xc0201650, size 32
[    0.116000] mm_malloc: Allocated 0xc0201670, size 32
[    0.118000] mm_malloc: Allocated 0xc0201690, size 32
[    0.118000] mm_malloc: Allocated 0xc02016b0, size 32
[    0.119000] mm_malloc: Allocated 0xc02016d0, size 48
[    0.119000] mm_malloc: Allocated 0xc0201700, size 48
[    0.120000] mm_malloc: Allocated 0xc0201730, size 32
[    0.120000] mm_malloc: Allocated 0xc0201750, size 32
[    0.121000] mm_malloc: Allocated 0xc0201770, size 32
[    0.121000] mm_malloc: Allocated 0xc0201790, size 32
[    0.122000] mm_malloc: Allocated 0xc02017b0, size 32
[    0.122000] mm_malloc: Allocated 0xc02017d0, size 32
[    0.122000] mm_malloc: Allocated 0xc02017f0, size 32
[    0.123000] mm_malloc: Allocated 0xc0201810, size 32
[    0.123000] mm_malloc: Allocated 0xc0201830, size 48
[    0.124000] mm_malloc: Allocated 0xc0201860, size 48
[    0.124000] mm_malloc: Allocated 0xc0201890, size 32
[    0.125000] mm_malloc: Allocated 0xc02018b0, size 32
[    0.125000] mm_malloc: Allocated 0xc02018d0, size 32
[    0.125000] mm_malloc: Allocated 0xc02018f0, size 48
[    0.126000] mm_malloc: Allocated 0xc0201920, size 32
[    0.126000] mm_malloc: Allocated 0xc0201940, size 32
[    0.127000] mm_malloc: Allocated 0xc0201960, size 32
[    0.127000] mm_malloc: Allocated 0xc0201980, size 32
[    0.128000] mm_malloc: Allocated 0xc02019a0, size 32
[    0.128000] mm_malloc: Allocated 0xc02019c0, size 32
[    0.129000] mm_malloc: Allocated 0xc02019e0, size 48
[    0.129000] mm_malloc: Allocated 0xc0201a10, size 48
[    0.130000] mm_malloc: Allocated 0xc0201a40, size 32
[    0.130000] mm_malloc: Allocated 0xc0201a60, size 32
[    0.131000] mm_malloc: Allocated 0xc0201a80, size 32
[    0.131000] mm_malloc: Allocated 0xc0201aa0, size 32
[    0.132000] mm_malloc: Allocated 0xc0201ac0, size 32
[    0.132000] mm_malloc: Allocated 0xc0201ae0, size 48
[    0.133000] mm_malloc: Allocated 0xc0201b10, size 48
[    0.133000] mm_malloc: Allocated 0xc0201b40, size 32
[    0.134000] mm_malloc: Allocated 0xc0201b60, size 32
[    0.134000] mm_malloc: Allocated 0xc0201b80, size 48
[    0.135000] mm_malloc: Allocated 0xc0201bb0, size 48
[    0.135000] mm_malloc: Allocated 0xc0201be0, size 48
[    0.136000] mm_malloc: Allocated 0xc0201c10, size 48
[    0.136000] mm_malloc: Allocated 0xc0201c40, size 48
[    0.136000] mm_malloc: Allocated 0xc0201c70, size 32
[    0.136000] mm_malloc: Allocated 0xc0201c90, size 32
